"t","date","dayofweek","rides","revenue","starts.session","tapped.sidebar","tapped.on.stop","booked.ride","viewed.eta","checkin.at.stop","left.review","trip.cancelled"
1,2016-01-04,"Monday",2654,10681.8396153846,17219,1596,2665,2614,5141,1601,148,702
2,2016-01-05,"Tuesday",2658,10587.4196836158,16772,1023,2911,2649,4953,1720,126,757
3,2016-01-06,"Wednesday",2669,10730.2341603916,16709,1180,2563,2660,4929,1698,121,721
4,2016-01-07,"Thursday",2636,10693.2555495979,15755,998,2542,2626,4845,1573,111,711
5,2016-01-08,"Friday",2166,8809.74027985075,12910,740,1949,2086,3621,1181,92,522
6,2016-01-11,"Monday",2763,11218.9900729927,16999,1009,2471,2783,5097,1580,119,741
7,2016-01-12,"Tuesday",2673,11080.6694628099,16438,942,2367,2691,4751,1476,130,742
8,2016-01-13,"Wednesday",2657,10896.8371564161,15301,886,2096,2645,4489,1476,111,697
9,2016-01-14,"Thursday",2601,10602.1367832168,19404,1052,2749,2810,5155,1848,121,982
10,2016-01-15,"Friday",2131,8678.70546506024,12367,648,1771,2121,3533,1144,79,591
11,2016-01-18,"Monday",0,0,753,238,226,0,0,0,0,0
12,2016-01-19,"Tuesday",2844,11400.9507396871,19477,1236,3584,2936,5602,2045,137,921
13,2016-01-20,"Wednesday",2730,11077.3218609865,16367,892,2578,2753,4780,1644,111,722
14,2016-01-21,"Thursday",2630,10774.3422360248,15718,815,2354,2697,4660,1624,107,784
15,2016-01-22,"Friday",2215,8989.16742843952,13990,752,1927,2280,3937,1268,98,677
16,2016-01-25,"Monday",2902,11399.9995575843,22523,1716,4703,3144,6629,2710,197,984
17,2016-01-26,"Tuesday",2922,11640.9261802876,20816,1519,4635,3189,5808,3102,196,977
18,2016-01-27,"Wednesday",2778,11029.0278116955,19706,1215,4003,3022,5444,2631,161,933
19,2016-01-28,"Thursday",2730,10603.8117073171,18250,928,3445,3003,5065,2485,134,950
20,2016-01-29,"Friday",2152,8337.65694457831,15320,776,2879,2405,4215,2015,101,832
21,2016-02-01,"Monday",3058,11742.1400880461,19730,1279,4693,3340,3964,3541,580,1037
